SITE FOLDER NAME,COUNTY,LATITUDE,LONGITUDE,FIRST YEAR,LAST YEAR,NUMBER OF MONTHS WITH OBSERVATIONS,NUMBER OF GAPS
ALNWICK-MIX,NORTHUMBERLAND,55.4169,-1.7093,1855,1889,204,216
ALPORT-MOOR,DERBYSHIRE,53.4454,-1.8419,1906,1960,649,11
ALPORT-MOOR-ALPORT-CASTLE,DERBYSHIRE,53.4201,-1.8013,1906,1960,407,253
ALPORT-MOOR-GLETHERING-CLOUGH,DERBYSHIRE,53.4390,-1.8133,1906,1935,359,1
ALRESFORD-ARLE-BURY,HAMPSHIRE,51.0894,-1.1730,1862,1894,360,36
ALRESFORD-CHERITON-RECTORY,HAMPSHIRE,51.0511,-1.1725,1878,1891,160,8
ALRESFORD-OVINGTON-RECTORY,HAMPSHIRE,51.0812,-1.2023,1876,1956,948,24
ALRESFORD-SWARRATON-RECTORY,HAMPSHIRE,51.1312,-1.1886,1876,1914,455,13
ALREWAS-CE-SCHOOL,STAFFORDSHIRE,52.7333,-1.7541,1934,1960,305,19
ALSTON,CUMBERLAND,54.8152,-2.4419,1889,1952,391,377
ALSTON-LOVELADY,CUMBERLAND,54.8110,-2.3812,1862,1894,243,153
ALSTON-NENTHEAD,CUMBERLAND,54.7929,-2.3507,1866,1960,363,777
ALSTONFIELD-VICARAGE,STAFFORDSHIRE,53.0947,-1.8043,1872,1926,427,233
ALTHORP-HOUSE,NORTHAMPTONSHIRE,52.2807,-1.0017,1827,1960,1445,163
ALTNABREAC-HRS,CAITHNESS,58.3878,-3.7073,1877,1935,202,506
ALTNAHARRA,SUTHERLAND,58.2874,-4.4425,1897,1956,248,472
ALTNAHEGLISH-GLACK-BURN,LONDONDERRY,54.8789,-6.8992,1929,1960,362,22
ALTON-ASHDELL,HAMPSHIRE,51.1472,-0.9694,1866,1910,530,10
ALTON-EAGLES-NEST,HAMPSHIRE,51.1457,-0.9678,1881,1908,329,7
ALTON-EAST-TISTED-RECTORY,HAMPSHIRE,51.0848,-1.0006,1871,1896,296,16
ALTON-MEDSTEAD,HAMPSHIRE,51.1300,-1.0660,1863,1880,96,120
ALTON-SHALDEN-MANOR,HAMPSHIRE,51.1730,-1.0072,1894,1946,518,118
ALTON-TRELOAR-ORTHOPAEDIC-HOSPITAL,HAMPSHIRE,51.1388,-0.9965,1935,1960,309,3
ALTRINCHAM-BARRINGTON-HOUSE,CHESHIRE,53.3919,-2.3488,1868,1934,804,0
ALTRINCHAM-NORMANS-PLACE,CHESHIRE,53.3856,-2.3548,1880,1960,972,0
ALVA-HOUSE,CLACKMANNANSHIRE,56.1565,-3.7758,1892,1914,247,29
ALVIE-MIX,INVERNESS,57.1604,-3.8815,1897,1934,430,26
ALWINTON-BIDDLESTON,NORTHUMBERLAND,55.3687,-2.0725,1879,1909,358,14
ALWINTON-HARBOTTLE,NORTHUMBERLAND,55.3363,-2.1103,1871,1900,317,43
AMBERGATE-RES,DERBYSHIRE,53.0740,-1.4835,1907,1960,615,33
AMBLESIDE-BRATHAY-VIC,WESTMORLAND,54.4312,-2.9665,1873,1885,156,0
AMBLESIDE-HIGH-CLOSE,WESTMORLAND,54.4379,-3.0222,1859,1952,1116,12
AMBLESIDE-LESKETH-HOWE,WESTMORLAND,54.4356,-2.9697,1843,1938,951,201
AMBLESIDE-LOW-NOOK,WESTMORLAND,54.4344,-2.9635,1859,1872,157,11
AMBLESIDE-MIX,WESTMORLAND,54.4294,-2.9618,1895,1948,644,4
AMBLESIDE-NOOK-COTTAGE,WESTMORLAND,54.4360,-2.9641,1875,1893,228,0
AMBLESIDE-SKELWITH-BRIDGE,WESTMORLAND,54.4200,-3.0125,1890,1924,402,18
AMBLESIDE-SKELWITH-FOLD,LANCASHIRE,54.4165,-3.0016,1890,1939,599,1
AMBLESIDE-THE-NURSERIES,WESTMORLAND,54.4294,-2.9618,1869,1871,36,0
AMBLESIDE-WANSFELL,WESTMORLAND,54.4150,-2.9584,1910,1942,396,0
AMBLESIDE-WHITE-CRAGGS,WESTMORLAND,54.4230,-2.9802,1906,1940,417,3
AMERSHAM-COMMON-THE-PLANTATION,BUCKINGHAMSHIRE,51.6759,-0.5899,1892,1945,624,24
AMHUINSUIDH-CASTLE,INVERNESS,57.9613,-6.9914,1926,1952,309,15
AMLWCH-DYFFRYN-ADDA,ANGLESEY,53.3954,-4.3506,1910,1960,612,0
AMPLEFORTH-ABBEY,YORKSHIRE NORTH RIDING,54.2010,-1.0850,1890,1960,745,107
AMPTHILL-HAYNES-PARK,BEDFORDSHIRE,52.0632,-0.4289,1877,1887,130,2
AMPTHILL-HIGHAM-BURY,BEDFORDSHIRE,51.9846,-0.4710,1893,1920,332,4
